계정코드,기표여부,사용여부,계정과목,제조,판관
6279110,1,0,6279110 -Chi phí mẫu hàng,1,0
6310000,1,0,6310000 -Giá thành sản xuất,1,0
6320000,1,0,6320000 -Giá vốn hàng bán,1,0
6350000,0,0,6350000 -Chi phí tài chính,0,1
6351000,0,0,6351000 -Chi phí tài chính - Lãi vay,0,1
6351100,0,0,6351100 -Chi phí tài chính - Lãi vay ngắn hạn,0,1
6351110,1,0,6351110 -Chi phí tài chính - Lãi vay ngắn hạn,0,1
6351120,1,0,6351120 -Chi phí tài chính - Lãi vay ngắn hạn khác (FCT),0,1
6351200,1,0,6351200 -Chi phí tài chính - Lãi vay dài hạn,0,1
6352000,0,0,6352000 -Chi phí tài chính - Chênh lệch tỷ giá,0,1
6352100,1,0,6352100 -Chi phí tài chính - Chênh lệch tỷ giá thực hiện,0,1
6352200,1,0,6352200 -Chi phí tài chính - Chênh lệch tỷ giá chưa thực hiện,0,1
6410000,0,0,6410000 -Chi phí bán hàng,0,1
6411000,1,0,6411000 -Chi phí nhân viên,0,1
6412000,1,0,"6412000 -Chi phí vật liệu, bao bì",0,1
6413000,1,0,"6413000 -Chi phí dụng cụ, đồ dùng",0,1
6414000,1,0,6414000 -Chi phí khấu hao TSCĐ,0,1
6415000,1,0,6415000 -Chi phí bảo hành,0,1
6417000,0,0,6417000 -Chi phí dịch vụ mua ngoài,0,1
6417100,1,0,6417100 -Chi phí dịch vụ mua ngoài - Phí Logistic,0,1
6417200,1,0,6417200 -Chi phí dịch vụ mua ngoài - Khác,0,1
6418000,1,0,6418000 -Chi phí bằng tiền khác,0,1
6420000,0,0,6420000 -Chi phí quản lý kinh doanh,0,1
6421000,0,0,6421000 -Chi phí nhân viên quản lý,0,1
6421100,0,0,6421100 -Chi phí nhân viên quản lý- Lương,0,1
6421110,1,0,6421110 -Chi phí nhân viên quản lý- Lương,0,1
6421120,1,0,6421120 -Chi phí nhân viên quản lý- Bảo hiểm xã hội,0,1
6421130,1,0,6421130 -Chi phí nhân viên quản lý- Bảo hiểm y tế,0,1
6421140,1,0,6421140 -Chi phí nhân viên quản lý- Bảo hiểm thất nghiệp,0,1
6421150,1,0,6421150 -Chi phí nhân viên quản lý- Kinh phí công đoàn,0,1
6421160,1,0,6421160 -Chi phí nhân viên quản lý- Lương làm thêm giờ,0,1
6421170,1,0,6421170 -Chi phí nhân viên quản lý-Thuế TNCN(NET),0,1
6421180,1,0,6421180 -Chi phí nhân viên quản lý-Thưởng,0,1
6421190,0,0,6421190 -Chi phí nhân viên quản lý-Phụ cấp,0,1
6421191,1,0,6421191 -Phụ cấp - Nghỉ phép,0,1
6421192,1,0,6421192 -Phụ cấp - Thông thường,0,1
6421200,0,0,6421200 -Chi phí nhân viên quản lý- CP lương khác,0,1
6421210,1,0,6421210 -Chi phí lương - Ăn trưa nội bộ,0,1
6421220,1,0,6421220 -Chi phí lương - Ăn ngoài và chi phí khác,0,1
6421230,1,0,"6421230 -Chi phí lương - Chi phí lễ tang, hiếu hỷ",0,1
6421240,1,0,6421240 -Chi phí lương - Thông thường,0,1
6421250,1,0,6421250 -Chi phí lương - Y tế,0,1
6421260,1,0,6421260 -Chi phí lương - Nhân viên khác,0,1
6421300,0,0,6421300 -Chi phí nhân viên quản lý- Chi phí hỗ trợ nghỉ việc,0,1
6421310,1,0,6421310 -Trợ cấp thôi việc – cán bộ quản lý (hoặc: lãnh đạo),0,1
